,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Cancellation,lifetime,Size Cancellation,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Cancellation,Bid Price 1 Cancellation,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
178,200248664,53:43.2,1,2217500,200,53:45.2,1.9865567,100,2219500,2218600,2219500,2218100,900,1400,1598.813685,3046
179,200376671,53:54.5,-1,2219200,200,53:54.5,0.004070376,100,2218700,2218000,2218700,2218000,700,700,1581.531435,3084
180,200404464,53:54.9,-1,2219400,200,53:54.9,0.069310436,100,2218700,2218000,2218700,2218000,700,700,1581.531435,3090
181,200406887,53:55.0,-1,2219500,200,53:55.6,0.663316533,100,2218700,2218000,2218500,2218000,700,500,1581.531435,3091
182,200425541,53:55.7,-1,2219700,200,53:55.7,0.001262096,100,2219000,2218000,2219000,2218000,1000,1000,1581.531435,3095
183,200726046,54:38.1,-1,2220400,300,54:38.1,0.001093241,100,2220000,2218200,2220000,2218200,1800,1800,1500.030023,3075
184,201668225,56:52.5,1,2218400,200,56:52.5,0.00225737,100,2220400,2219100,2220400,2219100,1300,1300,1478.068442,2914
185,202400868,58:30.7,-1,2220400,200,58:30.8,0.036769892,100,2219900,2218200,2219900,2218200,1700,1700,1370.147668,2578
186,205478933,04:55.5,-1,2216800,200,04:56.7,1.207526962,100,2216000,2215000,2216000,2215000,1000,1000,1418.716388,2188
187,205680166,05:18.9,-1,2215900,200,05:18.9,0.005350028,100,2215000,2213800,2215000,2213800,1200,1200,1647.171755,2215
188,205719158,05:22.7,-1,2215300,200,05:22.7,0.003542,100,2214400,2213500,2214400,2213500,900,900,1687.380871,2237
189,206597246,07:22.2,1,2214000,200,07:22.3,0.076257183,100,2215800,2214400,2215400,2214400,1400,1000,1968.360762,2210
190,206597872,07:22.3,1,2213900,200,07:22.3,0.007534875,100,2215400,2214400,2215400,2214400,1000,1000,1968.360762,2216
191,207035019,07:48.2,1,2212500,400,07:48.2,0.002907876,100,2214000,2213200,2214000,2213200,800,800,2224.849776,2175
192,207946923,08:50.0,-1,2215100,300,08:50.0,0.002816969,200,2214600,2212800,2214600,2213100,1800,1500,2543.178949,2013
193,208090292,09:04.7,-1,2214000,200,09:04.8,0.087673191,100,2213800,2212200,2213800,2212200,1600,1600,2597.016396,2076
194,209157073,11:06.3,1,2210700,400,11:06.3,0.001140444,100,2212500,2211200,2212500,2211200,1300,1300,2542.930978,1958
195,209157073,11:06.3,1,2210700,400,11:06.3,0.00479642,100,2212500,2211200,2212500,2211200,1300,1300,2542.930978,1958
196,209157073,11:06.3,1,2210700,400,11:06.3,0.00675344,100,2212500,2211200,2212500,2211200,1300,1300,2542.930978,1958
197,209254825,11:08.2,-1,2213500,200,11:08.2,0.000512724,100,2213000,2211400,2213000,2211400,1600,1600,2542.930978,1991
198,210011811,12:26.7,-1,2213300,200,12:28.0,1.30555495,100,2213000,2211700,2213000,2211700,1300,1300,2621.62737,2015
199,211128936,14:44.7,-1,2210700,200,14:44.8,0.099027631,100,2209900,2208600,2209900,2208600,1300,1300,2519.447794,1946
200,211274962,15:08.1,-1,2211600,300,15:08.1,0.001828946,100,2211000,2209300,2211000,2209300,1700,1700,2514.843042,1888
201,212220898,17:18.4,1,2209100,200,17:18.4,0.000472612,100,2211000,2210500,2211000,2210500,500,500,2088.891192,2060
